date,open,high,low,close,volume,avg_stock_6days,avg_YTD
7/1/2019,1922.97998,1929.819946,1914.660034,1922.189941,3203300,1922.98,1922.98
7/2/2019,1919.380005,1934.790039,1906.630005,1934.310059,2645900,1921.18,1921.18
7/3/2019,1935.890015,1941.589966,1930.5,1939,1690300,1926.08,1926.08
7/5/2019,1928.599976,1945.900024,1925.300049,1942.910034,2628400,1926.71,1926.71
7/8/2019,1934.119995,1956,1928.25,1952.319946,2883400,1928.19,1928.19
7/9/2019,1947.800049,1990.01001,1943.47998,1988.300049,4345700,1931.46,1931.46
7/10/2019,1996.51001,2024.939941,1995.400024,2017.410034,4931900,1943.72,1940.75
7/11/2019,2025.619995,2035.800049,1995.300049,2001.069946,4317800,1961.42,1951.36
7/12/2019,2008.27002,2017,2003.869995,2011,2509300,1973.49,1957.69
7/15/2019,2021.400024,2022.900024,2001.550049,2020.98999,2981300,1988.95,1964.06
7/16/2019,2010.579956,2026.319946,2001.219971,2009.900024,2618200,2001.7,1968.29
7/17/2019,2007.050049,2012,1992.030029,1992.030029,2558800,2011.57,1971.52
7/18/2019,1980.01001,1987.5,1951.550049,1977.900024,3504300,2008.82,1972.17
7/19/2019,1991.209961,1996,1962.22998,1964.52002,3185600,2003.09,1973.53
7/22/2019,1971.140015,1989,1958.26001,1985.630005,2900000,1996.9,1973.37
7/23/2019,1995.98999,1997.790039,1973.130005,1994.48999,2703500,1992.66,1974.78
7/24/2019,1969.300049,2001.300049,1965.869995,2000.810059,2631300,1985.78,1974.46
7/25/2019,2001,2001.199951,1972.719971,1973.819946,4136500,1984.78,1975.94
7/26/2019,1942,1950.900024,1924.51001,1943.050049,4927100,1978.44,1974.15
7/29/2019,1930,1932.22998,1890.540039,1912.449951,4493200,1968.24,1971.94
7/30/2019,1891.119995,1909.890015,1883.47998,1898.530029,2910900,1954.9,1968.09
7/31/2019,1898.109985,1899.550049,1849.439941,1866.780029,4470700,1938.59,1964.91
8/1/2019,1871.719971,1897.920044,1844.01001,1855.319946,4713300,1922.32,1960.86
8/2/2019,1845.069946,1846.359985,1808.02002,1823.23999,4956200,1896.34,1956.04
8/5/2019,1770.219971,1788.670044,1748.780029,1765.130005,6058200,1867.71,1948.6
8/6/2019,1792.22998,1793.77002,1753.400024,1787.829956,5070300,1844.74,1942.59
8/7/2019,1773.98999,1798.930054,1757,1793.400024,4526900,1825.22,1936.34
