date,open,high,low,close,volume,year,avg_stock_6days
7/1/2019,1922.97998,1929.819946,1914.660034,1922.189941,3203300,2019,1922.98
7/2/2019,1919.380005,1934.790039,1906.630005,1934.310059,2645900,2019,1921.18
7/3/2019,1935.890015,1941.589966,1930.5,1939,1690300,2019,1926.08
7/5/2019,1928.599976,1945.900024,1925.300049,1942.910034,2628400,2019,1926.71
7/8/2019,1934.119995,1956,1928.25,1952.319946,2883400,2019,1928.19
7/9/2019,1947.800049,1990.01001,1943.47998,1988.300049,4345700,2019,1931.46
7/10/2019,1996.51001,2024.939941,1995.400024,2017.410034,4931900,2019,1943.72
7/11/2019,2025.619995,2035.800049,1995.300049,2001.069946,4317800,2019,1961.42
7/12/2019,2008.27002,2017,2003.869995,2011,2509300,2019,1973.49
7/15/2019,2021.400024,2022.900024,2001.550049,2020.98999,2981300,2019,1988.95
7/16/2019,2010.579956,2026.319946,2001.219971,2009.900024,2618200,2019,2001.7
7/17/2019,2007.050049,2012,1992.030029,1992.030029,2558800,2019,2011.57
7/18/2019,1980.01001,1987.5,1951.550049,1977.900024,3504300,2019,2008.82
7/19/2019,1991.209961,1996,1962.22998,1964.52002,3185600,2019,2003.09
7/22/2019,1971.140015,1989,1958.26001,1985.630005,2900000,2019,1996.9
7/23/2019,1995.98999,1997.790039,1973.130005,1994.48999,2703500,2019,1992.66
7/24/2019,1969.300049,2001.300049,1965.869995,2000.810059,2631300,2019,1985.78
7/25/2019,2001,2001.199951,1972.719971,1973.819946,4136500,2019,1984.78
7/26/2019,1942,1950.900024,1924.51001,1943.050049,4927100,2019,1978.44
7/29/2019,1930,1932.22998,1890.540039,1912.449951,4493200,2019,1968.24
7/30/2019,1891.119995,1909.890015,1883.47998,1898.530029,2910900,2019,1954.9
7/31/2019,1898.109985,1899.550049,1849.439941,1866.780029,4470700,2019,1938.59
8/1/2019,1871.719971,1897.920044,1844.01001,1855.319946,4713300,2019,1922.32
8/2/2019,1845.069946,1846.359985,1808.02002,1823.23999,4956200,2019,1896.34
8/5/2019,1770.219971,1788.670044,1748.780029,1765.130005,6058200,2019,1867.71
8/6/2019,1792.22998,1793.77002,1753.400024,1787.829956,5070300,2019,1844.74
8/7/2019,1773.98999,1798.930054,1757,1793.400024,4526900,2019,1825.22
8/8/2019,1806,1834.26001,1798.109985,1832.890015,3701200,2019,1809.87
8/9/2019,1828.949951,1831.089966,1802.219971,1807.579956,2879800,2019,1802.74
8/12/2019,1795.98999,1800.97998,1777,1784.920044,2905500,2019,1794.56
8/13/2019,1783,1831.73999,1780,1824.339966,3994000,2019,1796.69
8/14/2019,1793.01001,1795.650024,1757.219971,1762.959961,4893600,2019,1796.82
8/15/2019,1781.98999,1788,1761.959961,1776.119995,3759100,2019,1798.16
8/16/2019,1792.890015,1802.910034,1784.550049,1792.569946,3018000,2019,1795.97
8/19/2019,1818.079956,1826,1812.609985,1816.119995,2816300,2019,1794.16
8/20/2019,1814.5,1816.819946,1799.880005,1801.380005,1929500,2019,1797.24
8/21/2019,1819.390015,1829.579956,1815,1823.540039,2031800,2019,1803.31
8/22/2019,1828,1829.410034,1800.099976,1804.660034,2653500,2019,1809.14
8/23/2019,1793.030029,1804.900024,1745.22998,1749.619995,5270800,2019,1810.98
8/26/2019,1766.910034,1770,1743.51001,1768.869995,3080000,2019,1806.65
8/27/2019,1775.72998,1779.400024,1746.680054,1761.829956,3019700,2019,1799.59
8/28/2019,1755,1767.859985,1744.050049,1764.25,2419700,2019,1789.68
8/29/2019,1783,1798.550049,1777.25,1786.400024,3015100,2019,1783.61
8/30/2019,1797.48999,1799.73999,1764.569946,1776.290039,3058700,2019,1778.53
9/3/2019,1770,1800.800049,1768,1789.839966,3543000,2019,1774.69
9/4/2019,1805,1807.630005,1796.22998,1800.619995,2324100,2019,1781.04
9/5/2019,1821.949951,1842,1815.579956,1840.719971,3310800,2019,1788.74
9/6/2019,1838.219971,1840.650024,1826.400024,1833.51001,2496900,2019,1802.61
9/9/2019,1841,1850,1824.609985,1831.349976,2999500,2019,1812.28
9/10/2019,1822.75,1825.810059,1805.339966,1820.550049,2613900,2019,1816.49
9/11/2019,1812.140015,1833.420044,1809.079956,1822.98999,2432800,2019,1823.51
9/12/2019,1837.630005,1853.660034,1834.280029,1843.550049,2823500,2019,1828.95
9/13/2019,1842.01001,1846.119995,1835.170044,1839.339966,1971300,2019,1832.29
9/16/2019,1824.02002,1825.689941,1800.199951,1807.839966,3675500,2019,1829.93
9/17/2019,1807.079956,1823.98999,1804.099976,1822.550049,1982400,2019,1824.27
9/18/2019,1817.040039,1822.060059,1795.5,1817.459961,2505600,2019,1823.32
9/19/2019,1821.02002,1832.569946,1817.900024,1821.5,2031500,2019,1824.8
9/20/2019,1821.709961,1830.630005,1780.920044,1794.160034,5341900,2019,1822.15
9/23/2019,1777,1792.699951,1767.319946,1785.300049,2922300,2019,1811.31
9/24/2019,1790.609985,1795.709961,1735.550049,1741.609985,4616000,2019,1805.74
9/25/2019,1747.359985,1773,1723,1768.329956,3493200,2019,1795.79
9/26/2019,1762.790039,1763.369995,1731.5,1739.839966,3536800,2019,1786.75
9/27/2019,1748,1749.119995,1713.819946,1725.449951,3907200,2019,1774.58
9/30/2019,1726.98999,1737.459961,1709.219971,1735.910034,2644700,2019,1758.79
10/1/2019,1746,1755.599976,1728.410034,1735.650024,3084500,2019,1753.62
10/2/2019,1727.73999,1728.890015,1705,1713.22998,3301100,2019,1743.15
10/3/2019,1713,1725,1685.060059,1724.420044,3468200,2019,1737.42
10/4/2019,1726.02002,1740.579956,1719.22998,1739.650024,2471900,2019,1731.29
10/7/2019,1731.630005,1747.829956,1723.699951,1732.660034,2154700,2019,1728.56
10/8/2019,1722.48999,1727,1705,1705.51001,2542000,2019,1727.81
10/9/2019,1719.609985,1729.949951,1714.359985,1721.98999,2043500,2019,1723.41
10/10/2019,1725.23999,1738.290039,1713.75,1720.26001,2575200,2019,1723
10/11/2019,1742.920044,1745.449951,1729.859985,1731.920044,3255000,2019,1727.99
10/14/2019,1728.910034,1741.890015,1722,1736.430054,1910200,2019,1728.47
10/15/2019,1742.140015,1776.449951,1740.619995,1767.380005,3111700,2019,1730.22
10/16/2019,1773.329956,1786.23999,1770.52002,1777.430054,2763400,2019,1738.69
10/17/2019,1796.48999,1798.849976,1782.02002,1787.47998,2647400,2019,1751.51
10/18/2019,1787.800049,1793.97998,1749.199951,1757.51001,3362500,2019,1761.93
10/21/2019,1769.660034,1785.880005,1765,1785.660034,2130400,2019,1766.39
10/22/2019,1788.150024,1789.780029,1762,1765.72998,2111700,2019,1776.26
10/23/2019,1761.300049,1770.050049,1742,1762.170044,2138200,2019,1779.46
10/24/2019,1771.089966,1788.339966,1760.27002,1780.780029,4446100,2019,1779.08
10/25/2019,1697.550049,1764.209961,1695,1761.329956,9626400,2019,1762.59
10/28/2019,1748.060059,1778.699951,1742.5,1777.079956,3708900,2019,1755.97
10/29/2019,1774.810059,1777,1755.810059,1762.709961,2276900,2019,1756.83
10/30/2019,1760.23999,1782.380005,1759.119995,1779.98999,2449400,2019,1752.18
10/31/2019,1775.98999,1792,1771.47998,1776.660034,2781200,2019,1754.62
11/1/2019,1788.01001,1797.449951,1785.209961,1791.439941,2790400,2019,1757.44
11/4/2019,1801.01001,1815.060059,1801.01001,1804.660034,2771900,2019,1774.69
11/5/2019,1809.160034,1810.25,1794,1801.709961,1885500,2019,1784.87
11/6/2019,1801,1802.5,1788.579956,1795.77002,2029800,2019,1789.24
11/7/2019,1803.76001,1805.900024,1783.47998,1788.199951,2651100,2019,1796.49
11/8/2019,1787.890015,1789.880005,1774.040039,1785.880005,2123300,2019,1798.47
11/11/2019,1778,1780,1767.130005,1771.650024,1946000,2019,1796.8
11/12/2019,1774.660034,1786.219971,1771.910034,1778,2037600,2019,1792.41
11/13/2019,1773.390015,1775,1747.319946,1753.109985,2989500,2019,1786.45
11/14/2019,1751.430054,1766.589966,1749.560059,1754.599976,2264800,2019,1778.19
11/15/2019,1760.050049,1761.680054,1732.859985,1739.48999,3927600,2019,1770.9
11/18/2019,1738.300049,1753.699951,1722.709961,1752.530029,2839500,2019,1762.64
11/19/2019,1756.98999,1760.680054,1743.030029,1752.790039,2270800,2019,1759.14
11/20/2019,1749.140015,1762.52002,1734.119995,1745.530029,2790000,2019,1754.88
11/21/2019,1743,1746.869995,1730.359985,1734.709961,2662900,2019,1749.82
11/22/2019,1739.02002,1746.430054,1731,1745.719971,2479100,2019,1747.75
11/25/2019,1753.25,1777.420044,1753.23999,1773.839966,3486200,2019,1746.62
11/26/2019,1779.920044,1797.030029,1778.349976,1796.939941,3181200,2019,1753.55
11/27/2019,1801,1824.5,1797.310059,1818.51001,3025600,2019,1760.89
11/29/2019,1817.780029,1824.689941,1800.790039,1800.800049,1923400,2019,1772.33
12/2/2019,1804.400024,1805.550049,1762.680054,1781.599976,3925600,2019,1782.56
12/3/2019,1760,1772.869995,1747.22998,1769.959961,3380900,2019,1786.06
12/4/2019,1774.01001,1789.089966,1760.219971,1760.689941,2670100,2019,1789.52
12/5/2019,1763.5,1763.5,1740,1740.47998,2823800,2019,1786.78
12/6/2019,1751.199951,1754.400024,1740.130005,1751.599976,3117400,2019,1778.48
12/9/2019,1750.660034,1766.890015,1745.609985,1749.51001,2442800,2019,1767.3
